year,cds,ccode,cdcode,scode,rtype,dname,cname,sname,charter_school_(y/n),percent (%)_eligible frpm_(k-12),enroll12,numtsttakr,avgscrread,avgscreng,avgscrmath,avgscrsci,numge21,pctge21
2018-19,19647331930924.0,19.0,1964733.0,1930924.0,S,Los Angeles Unified,Los Angeles,Belmont Senior High,No,0.9046511627906977,206.0,31.0,17,15,17,16,4,12.9
2018-19,19647331933043.0,19.0,1964733.0,1933043.0,S,Los Angeles Unified,Los Angeles,Benjamin Franklin Senior High,No,0.9022503516174403,277.0,108.0,18,17,19,18,26,24.07
2018-19,19647331931047.0,19.0,1964733.0,1931047.0,S,Los Angeles Unified,Los Angeles,Birmingham Community Charter High,Yes,0.8334913112164297,798.0,37.0,20,19,20,19,16,43.24
2018-19,19647330112508.0,19.0,1964733.0,112508.0,S,Los Angeles Unified,Los Angeles,Bright Star Secondary Charter Academy,Yes,0.916988416988417,117.0,45.0,18,17,17,19,11,24.44
2018-19,19647330106435.0,19.0,1964733.0,106435.0,S,Los Angeles Unified,Los Angeles,Camino Nuevo Charter High,Yes,0.9545454545454546,86.0,34.0,17,16,15,15,4,11.76
2018-19,19647330127910.0,19.0,1964733.0,127910.0,S,Los Angeles Unified,Los Angeles,Camino Nuevo High #2,Yes,0.9543478260869566,112.0,82.0,16,15,16,15,3,3.66
2018-19,19647331931476.0,19.0,1964733.0,1931476.0,S,Los Angeles Unified,Los Angeles,Canoga Park Senior High,No,0.8860319666435025,227.0,32.0,19,18,18,18,9,28.13
2018-19,19647331931526.0,19.0,1964733.0,1931526.0,S,Los Angeles Unified,Los Angeles,Carson Senior High,No,0.705136757838559,334.0,26.0,20,20,20,19,11,42.31
2018-19,19647330100800.0,19.0,1964733.0,100800.0,S,Los Angeles Unified,Los Angeles,Central City Value,Yes,0.9508547008547008,105.0,15.0,21,21,19,20,8,53.33
2018-19,19647330124396.0,19.0,1964733.0,124396.0,S,Los Angeles Unified,Los Angeles,Cesar E. Chavez Learning Academies-Academy of Scientific Exploration (ASE),No,0.8612975391498882,108.0,28.0,18,16,18,17,8,28.57
